Name,University,Program,Gender,Age,Neighborhood,Grade_point_average,no_per_house,Relationship?,Pet?,Semester
Person 1,UNAL,Administracion de Sistemas Informaticos,Masculino,23,Minitas,3.8,5,SI,SI,8
Person 2,UCLA,Psicologia,Masculino,33,Chipre,4.4,3,NO,NO,4
Person 3,UCLA,Derecho,Masculino,19,Alta Suiza,4.4,5,NO,SI,6
Person 4,UCLA,Administracion,Masculino,24,Campana,4.3,3,SI,SI,8
Person 5,UCLA,Administracion,Masculino,25,Alta Suiza,4,6,SI,SI,9
Person 6,UCLA,Negocios,Masculino,20,Nevado,4.2,6,NO,SI,7
Person 7,UCLA,Negocios,Femenino,22,Alta Suiza,4.3,2,NO,NO,5
Person 8,UNAL,Administracion de Sistemas Informaticos,Femenino,28,El Bosque,3.4,3,NO,NO,3
Person 9,UNAL,Ingenieria fisica,Femenino,21,Alta Suiza,4.2,2,SI,NO,10
Person 10,UCLA,Negocios,Femenino,23,Puerta del sol,4.3,4,NO,SI,5
Person 11,UCLA,Negocios,Femenino,19,Sultana,4.2,4,NO,SI,6
Person 12,UNAL,Administracion de Sistemas Informaticos,Femenino,18,Enea,4,1,NO,NO,3
Person 13,UCLA,Negocios,Masculino,21,Guamal,4.3,3,SI,SI,6
Person 14,UCLA,Negocios,Femenino,20,Alta Suiza,4.4,4,NO,SI,6
Person 15,UCLA,Negocios,Femenino,22,Minitas,4.1,6,NO,SI,9
Person 16,UM,Administracion,Masculino,40,La Francia,4.9,1,NO,NO,4
Person 17,UCLA,Derecho,Masculino,35,Campin,4.1,3,NO,SI,10
Person 18,UNAL,Administracion de Sistemas Informaticos,Masculino,24,Cervantes,4,3,SI,NO,10
